ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,BRANCH,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,STAGE
847101,MALE,A5,3479,KE,"NORMAL CLIENT","PERSONAL BANKING","THIKA ROAD MALL BRANCH",NO,RESTRUCTURE,"2021-02-25 11:30",CALL,2,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",NULL
847506,FEMALE,A5,3405,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-04-26 14:25",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
847756,FEMALE,B9,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","THIKA ROAD MALL BRANCH",NO,RESTRUCTURE,"2021-02-09 09:37:50",CALL,1,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",NULL
847838,MALE,A5,3479,KE,"NORMAL CLIENT","PERSONAL BANKING","RIVERSIDE BRANCH",NO,PTP,"2021-04-07 13:43",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
847972,MALE,A5,1860,KE,"NORMAL CLIENT","PERSONAL BANKING","LAVINGTON BRANCH",NO,PTP,"2021-04-19 16:59",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",NULL
848093,FEMALE,B10,1830,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-04-27 10:11",CALL,NULL,HP,"PERSONAL BANKING",B10,"CREDIT COLLECTIONS",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
848120,FEMALE,A5,4625,KE,"NORMAL CLIENT","PERSONAL BANKING","CIATA MALL BRANCH",NO,PTP,"2021-03-09 15:22",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
848414,FEMALE,A5,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","NAROK BRANCH",NO,RESTRUCTURE,"2020-11-20 11:51",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CLOSE,"e0Y e1M e0W o5D e0F",KES,,NULL
848600,MALE,B20,3479,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,RESTRUCTURE,"2021-02-25 15:15",CALL,3,HP,"PERSONAL BANKING",B20,"CREDIT COLLECTIONS",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Asset Finance Loan",REPOSSESSION
848900,MALE,A5,3490,KE,"NORMAL CLIENT","PERSONAL BANKING","MOI AVENUE BRANCH, MOMBASA",NO,RESTRUCTURE,"2020-10-19 16:41",CALL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",COLLECTION
849116,FEMALE,B9,3477,KE,"NORMAL CLIENT","PERSONAL BANKING","NAROK BRANCH",NO,NONE,"2021-10-08 18:06:12",NONE,1,HP,"PERSONAL BANKING",B9,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
