ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,LOAN_BRANCH_CODE,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,LOAN_STAGE
92634,,,,,Active,,27,YES,PTP,2022-02-22 14:55:57,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o27D e0F,,79,COLLECTION
92634,,,,,Active,,27,NO,Unreachable: Ringing no answer,2022-02-22 15:07:56,CALL,3,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,79,COLLECTION
179517,,,,,Active,,8,YES,PTP,2022-02-22 15:09:27,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,67,
56064,,,,,Active,,8,YES,PTP,2022-02-23 08:42:23,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,74,
255459,,,,,Active,,4,YES,PTP,2022-02-23 08:51:12,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,78,COLLECTION
2416,,,,,Active,,4,YES,PTP,2022-02-23 09:02:48,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
159907,,,,,Active,,8,NO,NIP,2022-02-23 09:30:22,CALL,5,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
273129,,,,,Active,,3,YES,PTP,2022-02-23 09:43:32,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
116943,,,,,Active,,4,NO,NIP,2022-02-23 09:51:42,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
171067,,,,,Active,,8,NO,SKIP TRACE,2022-02-23 09:59:27,CALL,6,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,79,COLLECTION
206125,,,,,Active,,2,NO,Unwilling to Pay,2022-02-23 10:04:36,CALL,4,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,79,COLLECTION
4516,,,,,Active,,11,YES,PTP,2022-02-23 11:51:03,CALL,2,Individual,PERSONAL BANKING,,,Closed (obligations met),e0Y e1M e0W o27D e0F,,1,
